,AirTC,RH,BP_kPa,Rain_mm,WS_kph,WindDir,SlrW
2019-07-01,21.64625,76.96166667,101.3833333,0,5.350666667,195.077,319.34775
2019-07-02,23.62083333,88.14583333,100.9375,0.135416667,4.517625,243.5441667,118.5357917
2019-07-03,24.28166667,78.18083333,101.1625,0.125,4.616083333,209.1308333,320.7629167
2019-07-04,23.99541667,77.60166667,101.5916667,0,4.405375,150.2697917,303.0669583
2019-07-05,25.69541667,88.83541667,101.4958333,0,3.96775,171.5686667,270.1884167
2019-07-06,26.37833333,88.51125,101.2458333,0,4.541666667,160.4515833,232.04975
2019-07-07,21.98958333,61.63625,101.5833333,0,5.244541667,128.3879583,319.3097917
2019-07-08,21.18791667,67.22666667,101.5916667,0,4.345,208.218875,299.4340833
2019-07-09,22.81375,59.57333333,101.7,0,4.096166667,155.5805,292.6243333
2019-07-10,22.43916667,75.29125,101.4041667,0,4.396291667,115.152625,293.124125
2019-07-11,23.95166667,86.63333333,100.7375,0,5.9445,93.855125,178.1599583
2019-07-12,20.12708333,87.11458333,100.9791667,0,6.888708333,152.6341667,163.7532917
2019-07-13,22.49958333,87.87875,101.1375,0.427083333,4.767291667,68.11870833,248.3879583
2019-07-14,21.85958333,71.43208333,101.6,0,9.422041667,92.007875,335.0279583
2019-07-15,21.12166667,84.27583333,101.7583333,0,5.133833333,83.33804167,289.2520417
2019-07-16,24.51125,87.8675,101.325,0.229166667,4.891958333,76.02645833,257.5425
2019-07-17,23.35833333,101.0083333,101.1583333,0.302083333,2.92075,146.9476667,148.5266667
2019-07-18,22.68541667,99.00416667,101.2333333,0,4.068291667,47.40045833,246.8397083
2019-07-19,26.24541667,95.15291667,100.8375,0.010416667,4.0775,126.9087083,193.0599167
2019-07-20,28.22333333,87.56375,100.8208333,0.166666667,5.625708333,208.1370417,222.57825
2019-07-21,24.49166667,72.56375,101.0083333,0,7.939916667,265.6704167,263.05275
2019-07-22,20.6025,89.40666667,101.1166667,0,4.529458333,219.9786667,180.8475
2019-07-23,21.09458333,70.85,101.2333333,0,6.889916667,214.1104167,257.056625
2019-07-24,21.51458333,70.12,101.5875,0,6.854166667,219.494375,254.2125833
2019-07-25,22.9475,71.64333333,101.9083333,0,4.376208333,171.6095833,270.182875
2019-07-26,23.805,78.13125,102.2416667,0,4.353791667,186.2379167,274.5792083
2019-07-27,24.14916667,81.94666667,101.975,0,4.751583333,221.2833333,235.4222083
2019-07-28,25.38125,84.64875,101.4375,0,4.683958333,211.3122917,227.2916667
2019-07-29,25.61541667,84.26416667,101.175,0.052083333,4.613416667,208.9625,254.546
2019-07-30,22.545,95.09125,101.2083333,0.322916667,4.654958333,121.6481667,146.9032083
2019-07-31,21.51,79.71583333,101.7291667,0,5.914583333,212.739875,260.375875
